warnum,year,deaths,pop,period,deaths_pc
1,1823,2000,83900219.29097915,pre-1945,2.3837839959198267e-5
4,1828,260000,148494831.8719987,pre-1945,0.00175090268612255
7,1846,38566,56067632.35752368,pre-1945,6.87847843370273e-4
10,1848,22708,179514369.635226,pre-1945,1.264968372512059e-4
13,1848,12000,48602600.06907714,pre-1945,2.4690037123414855e-4
16,1849,7800,113174571.58345596,pre-1945,6.8920075339081e-5
19,1851,2600,16504906.455922697,pre-1945,1.575289146256872e-4
22,1853,759200,487078137.541432,pre-1945,0.00155868215278995
25,1856,4000,67261648.0707004,pre-1945,5.946925350082858e-5
28,1859,55000,196520074.5425635,pre-1945,2.7986962720232315e-4
31,1859,20000,36701388.55771139,pre-1945,5.449385101206958e-4
34,1860,2000,44286386.76235321,pre-1945,4.516060456077107e-5
37,1860,2000,64092696.350522354,pre-1945,3.120480357172085e-5
40,1862,40000,90942458.1336979,pre-1945,4.398385618870617e-4
43,1863,2000,6519327.294914685,pre-1945,3.067801184886167e-4
46,1864,11395,103176258.66134088,pre-1945,1.1044207405700002e-4
49,1864,810000,21613102.30951686,pre-1945,0.03747726672460779
52,1865,2200,53078745.76319082,pre-1945,4.144785202376921e-5
55,1866,208100,479028001.05457103,pre-1945,4.344213689844264e-4
58,1870,857094,266407167.7745003,pre-1945,0.00321723325674737
60,1876,8000,2168647.5058632935,pre-1945,0.0036889351443103
61,1877,570000,222203862.7112592,pre-1945,0.00256521193216465
64,1879,30092,14313886.075386193,pre-1945,0.00210229422265316
65,1882,20158,81676516.54708254,pre-1945,2.468028859724924e-4
67,1884,24200,796207440.2432821,pre-1945,3.0394089249662955e-5
70,1885,2000,2514032.1456848714,pre-1945,7.955347760500338e-4
73,1894,30000,859937536.9995903,pre-1945,3.4886254767611444e-5
76,1897,4000,51412859.53656867,pre-1945,7.780154685142345e-5
79,1898,7370,178401955.28404582,pre-1945,4.131120641736087e-5
82,1900,13625,2824411926.317562,pre-1945,4.824013053139925e-6
83,1900,8000,1045882445.1341356,pre-1945,7.649043195264637e-6
85,1904,303662,368275754.8070298,pre-1945,8.245506146857637e-4
88,1906,2100,5646184.376513537,pre-1945,3.719325937593149e-4
91,1907,2100,3774851.363185952,pre-1945,5.56313295002856e-4
94,1909,20000,47769325.26711047,pre-1945,4.186787208771849e-4
97,1911,40000,98991338.8907919,pre-1945,4.040757549923469e-4
100,1912,204000,38568281.37088591,pre-1945,0.00528932046616922
103,1913,152500,40363073.57875888,pre-1945,0.00377820583218056
106,1914,34888731,1098277729.1106758,pre-1945,0.03176676543213797
107,1918,31350,462433218.7605537,pre-1945,6.779357262444617e-5
108,1918,39542,731497541.2977024,pre-1945,5.405623090660168e-5
109,1919,200000,347897947.4181236,pre-1945,5.748812302121133e-4
112,1919,26000,59700559.99662954,pre-1945,4.355068026408438e-4
115,1919,100000,37717008.573739335,pre-1945,0.00265132373381343
116,1919,80000,101817430.6450721,pre-1945,7.857200824372987e-4
117,1920,2000,54248620.62527825,pre-1945,3.6867296844559016e-5
118,1929,6400,1238298957.7109735,pre-1945,5.168380349629429e-6
121,1931,120000,1087162573.6083474,pre-1945,1.1037907569032104e-4
124,1932,185322,6783075.3414719645,pre-1945,0.02732123567416901
125,1934,4200,13358210.633590154,pre-1945,3.144133683173708e-4
127,1935,40000,110138771.24503282,pre-1945,3.6317819372625305e-4
130,1937,2000000,1148361209.513039,pre-1945,0.0017416122936163
133,1938,3452,473865852.5759821,pre-1945,7.284762092973324e-6
136,1939,73000,555883535.070211,pre-1945,1.3132247205483377e-4
139,1939,134100683,6338461512.362584,pre-1945,0.0211566612400263
