year,ccode,warnum,batdeath,wbgdp2011est,wbpopest,sdpest,wbgdppc2011est,milex,milper,irst,pec,tpop,upop,cinc,v2x_polyarchy,polity2,xm_qudsest,batdeathpc,milexpsdp
1846,2,7,13283,24.757,16.816,24.263,7.941,9506,39,777,4863,20794,846,0.082757324,0.345,10,0.8459865955585267,6.387900355871887e-4,2.758740150020615e-4
1898,2,79,2910,26.925,18.083,26.752,8.841,60011,236,11963,207271,73494,13162,0.19706185,0.409,10,0.9809789853232066,3.9595068985223285e-5,1.445389461375009e-4
1917,2,106,116516,27.552,18.415,27.427,9.137,658584,644,45784,710959,103268,25310,0.24402818,0.414,10,0.9694733680456348,0.0011282875624588449,8.076373969293174e-4
1941,2,139,405400,28.288,18.681,28.212,9.607,6301000,1801,75150,1031214,133402,38183,0.24449451,0.547,10,1.333065183402995,0.0030389349485015218,0.00352446787311887
1999,2,221,2,30.274,19.414,30.253,10.86,292147000,1490,97427,3161089,276218,70642,0.14250799,0.864,10,1.5400620019928923,7.240657741349224e-9,0.021227090425437536
1991,2,211,376,29.967,19.321,29.941,10.647,262389000,2110,79738,2827021,252618,64814,0.13713777,0.872,10,1.544577694227027,1.488413335550119e-6,0.02604561050692775
2003,2,227,140,30.367,19.457,30.347,10.91,404920000,1427,93677,3243291,292883,159669,0.15177245,0.85,10,1.6425890108128216,4.780065760047528e-7,0.02678148077130411
2001,2,225,2,30.335,19.435,30.314,10.9,322365000,1368,90104,3184088,285112,76419,0.14141168,0.822,10,1.4921516371287429,7.014787171357221e-9,0.022036618785371123
1900,2,82,21,27.037,18.121,26.879,8.917,41481,126,10352,256081,76094,14207,0.18799882,0.422,10,0.9743854390661674,2.759744526506689e-7,8.799294202524888e-5
1950,2,151,54487,28.572,18.821,28.507,9.752,14559000,1460,87848,1241836,152271,43964,0.28444302,0.587,10,1.2701063301933873,3.5782913358420185e-4,0.0060631561117102184
1965,2,163,58153,29.163,19.064,29.117,10.099,51827008,2660,119260,1700357,194303,50841,0.2015391,0.646,10,1.3767199408576563,2.992902837321091e-4,0.011727453184598098
1968,2,170,375,29.305,19.095,29.264,10.21,80732000,3550,119262,2094353,200706,50765,0.20341188,0.694,8,1.209019992026407,1.8684045320020328e-6,0.015770737138433077
1970,2,176,125,29.345,19.115,29.305,10.23,77827008,3070,119309,2276904,205052,55468,0.18096918,0.695,8,1.2020873345155412,6.0960146694497e-7,0.014592528240968943
1940,20,139,41992,25.448,16.217,25.335,9.231,730100,21,2045,46411,11381,2617,0.012058837,0.694,10,1.370765588558375,0.003689658202266936,0.007253233344565417
1939,20,139,41992,25.334,16.213,25.206,9.121,125700,6,1407,40964,11267,2589,0.0090911472,0.684,10,1.389377915884161,0.003726990325730008,0.0014207202375137317
