warnum,year,batdeath,batdeathpc,tpop,milper,milex,sum_sdpest,mea_sdpest,med_sdpest,min_sdpest,max_sdpest,sum_wbgdp2011est,mea_wbgdp2011est,med_wbgdp2011est,min_wbgdp2011est,max_wbgdp2011est,min_polyarchy,med_polyarchy,mea_polyarchy,max_polyarchy,min_polity2,med_polity2,mea_polity2,max_polity2,wpop
1,1823,1000,2.3467567821271004e-5,42612,370,13569,45999033589.67425,22999516794.837124,22999516794.837124,11299225268.447952,34699808321.226295,91963457139.1807,45981728569.59035,45981728569.59035,24354926832.699158,67608530306.48154,0.172,0.1775,0.1775,0.183,-6,-5,-5,-4,241459000
4,1828,130000,0.0015524797879073768,83737,753,7587,27597747666.02879,13798873833.014395,13798873833.014395,1,27597747665.02879,99137782856.24486,49568891428.12243,49568891428.12243,13704635908.196993,85433146948.04787,0.016,0.02,0.02,0.024,-10,-10,-10,-10,258135000
7,1846,19283,6.838670780579494e-4,28197,59,14789,35635658971.900925,17817829485.950462,17817829485.950462,1177901143.8250716,34457757828.07585,65703931058.825836,32851965529.412918,32851965529.412918,9232539656.525595,56471391402.30024,0.2,0.27249999999999996,0.27249999999999996,0.345,10,10,10,10,327283000
10,1848,22708,1.4427579371382464e-4,157393,1784,44544,65360189074.48273,8170023634.310341,1,1,32941529713.255245,206936249871.116,25867031233.8895,25526934842.87667,5256626.346762822,52970447465.81428,0.016,0.1585,0.138,0.219,-10,-6.5,-6.875,-6,334513000
13,1848,12000,3.2338040314756927e-4,37108,334,7655,89775436348.20132,22443859087.05033,22080109044.019688,2506116046.975606,43109102213.18634,142734381853.1593,35683595463.289825,35238126698.6506,4378622438.028947,67879506017.829155,0.165,0.2585,0.26175,0.365,-9,-8,-5.75,2,334513000
16,1849,5400,6.015774698097233e-5,89764,958,34811,61494474015.91554,10249079002.65259,4368804.675404528,1,61481367599.88933,126215687674.57782,21035947945.76297,5389795.49114663,5357457.106259435,99358464389.9927,0.026,0.15,0.15259999999999999,0.287,-10,-9,-6.166666666666667,6,337040000
19,1851,1300,1.5643802647412756e-4,8310,25,0,2303762095.7538834,1151881047.8769417,1151881047.8769417,1067942780.7794918,1235819314.9743917,11151814384.57899,5575907192.289495,5575907192.289495,2334351595.0072246,8817462789.571766,0.088,0.151,0.151,0.214,-6,-5.5,-5.5,-5,343066000
22,1853,564200,0.001453284701615562,388224,5398,231379,377556505097.8141,47194563137.22676,46817416817.18886,1,92919559109.71216,787838387449.9862,98479798431.24828,121358886879.69345,17809538117.0328,122331449863.11147,0.015,0.025,0.103375,0.322,-10,-10,-7.75,3,348736000
25,1856,2000,5.829034420448253e-5,34311,400,32369,100363866392.56317,50181933196.281586,50181933196.281586,3070173771.3830695,97293692621.1801,136981378978.4549,68490689489.22745,68490689489.22745,9911881242.330952,127069497736.12395,0.322,0.322,0.322,0.322,-10,-3.5,-3.5,3,363910000
28,1859,35000,2.9988347385016107e-4,116712,1228,83679,131299833715.87955,32824958428.969887,21832547053.688095,9241776813.99107,78392962794.51228,269375113110.7507,67343778277.687675,52250915548.811295,47690592825.84008,117182689187.28804,0.184,0.201,0.201,0.218,-8,-6.5,-6.75,-6,374751000
31,1859,10000,5.706785367802317e-4,17523,134,4405,17387197562.04789,8693598781.023945,8693598781.023945,1,17387197561.04789,37146615923.36922,18573307961.68461,18573307961.68461,3201867274.9808164,33944748648.388397,0.011,0.10500000000000001,0.10500000000000001,0.199,-6,-6,-6,-6,374751000
34,1860,1000,3.6915353095352356e-5,27089,203,11589,35475945675.236015,17737972837.618008,17737972837.618008,4282296.54676787,35471663378.68925,59729279894.57588,29864639947.28794,29864639947.28794,5267150.119721386,59724012744.45616,0.045,0.1295,0.1295,0.214,-9,-8,-8,-7,805247000
